Designator,Mid X,Mid Y,Rotation,Layer
TP15,81.5,-126.0,270.0,top
TP16,85.5,-126.0,270.0,top
TP17,119.0,-68.5,0.0,top
TP18,119.0,-73.09,0.0,top
TP19,76.5,-61.0,0.0,top
TP2,116.465,-167.545,90.0,bottom
TP20,76.5,-56.0,0.0,top
TP21,77.0,-65.5,0.0,top
TP3,117.0,-163.545,90.0,bottom
TP4,117.0,-159.5,90.0,bottom
TP5,116.465,-155.545,90.0,bottom
TP6,76.0,-163.0,180.0,top
TP7,76.0,-159.27,180.0,top
TP8,76.0,-155.695,180.0,top
TP9,76.0,-152.1,180.0,top
U1,97.0,-167.45,270.0,top
U10,88.75,-74.0,0.0,bottom
U12,102.025,-90.925,180.0,bottom
U19,110.4375,-146.9775,180.0,bottom
U2,82.5,-148.5,90.0,top
U3,97.06,-161.95,0.0,bottom
U4,103.37425,-104.65,180.0,top
U6,103.76,-77.32,180.0,top
U7,77.0675,-99.4125,270.0,top
USBC1,80.65,-169.5725,0.0,top
